marketing_spend,product_price,customer_rating,region,sales_revenue
5000,29.99,4.2,North,15000
7500,34.99,4.5,South,22000
3000,24.99,3.8,East,12000
9000,39.99,4.7,West,28000
4500,27.99,4.0,North,16500
6800,32.99,4.4,South,20500
2800,22.99,3.5,East,10800
8200,37.99,4.6,West,25200
5200,30.99,4.1,North,17800
6200,33.99,4.3,South,19200
3500,25.99,3.9,East,13500
7800,36.99,4.5,West,24800
4800,28.99,4.0,North,16200
6500,31.99,4.2,South,20800
3200,23.99,3.7,East,11500
8500,38.99,4.8,West,26500
5500,29.99,4.3,North,18500
7200,35.99,4.4,South,23200
2900,21.99,3.6,East,10200
8800,40.99,4.9,West,29800
4200,26.99,3.9,North,14800
6900,33.49,4.3,South,21200
3100,23.49,3.6,East,11800
8100,37.49,4.5,West,25800
4900,29.49,4.1,North,17200
6300,32.49,4.2,South,19800
2700,21.49,3.4,East,10500
7900,36.49,4.6,West,24400
5100,30.49,4.0,North,17500
6100,33.24,4.3,South,19500
3300,24.49,3.8,East,12800
8300,38.49,4.7,West,26200
5300,29.24,4.2,North,18200
7100,35.49,4.4,South,22800
2950,22.49,3.5,East,10800
8600,39.49,4.8,West,27200
4700,28.49,3.9,North,16800
6700,32.24,4.2,South,20600
3250,23.24,3.7,East,12200
8000,36.99,4.5,West,25600
5600,30.24,4.1,North,18800
7300,35.24,4.3,South,23600
3150,24.24,3.8,East,12600
8400,38.24,4.6,West,26800
4600,27.49,3.8,North,16400
6400,31.49,4.1,South,20200
2750,20.99,3.3,East,10200
7700,35.99,4.4,West,24200
5050,29.74,4.0,North,17300
6050,32.74,4.2,South,19300
3400,25.24,3.9,East,13200
8200,37.24,4.5,West,25400
5400,30.74,4.1,North,18600
7000,34.74,4.3,South,22600
3050,23.74,3.6,East,11900
8700,39.24,4.7,West,27600
4800,28.74,3.9,North,17000
6600,31.74,4.1,South,20400
3350,24.74,3.8,East,12900
7600,35.74,4.4,West,24000
5250,29.49,4.0,North,17700
6250,32.49,4.2,South,19700
2850,21.74,3.4,East,10600
8050,36.74,4.5,West,25000
4950,29.24,3.9,North,17100
6950,34.49,4.3,South,22400
3200,23.99,3.7,East,12400
8350,38.74,4.6,West,26600
5150,30.24,4.0,North,17900
7150,34.99,4.3,South,23000
2900,22.24,3.5,East,11000
8450,38.49,4.7,West,26900
4650,27.74,3.8,North,16600
6350,31.24,4.1,South,19900
3100,23.49,3.6,East,12100
7950,36.49,4.5,West,25300
5350,30.49,4.1,North,18400
7250,35.24,4.3,South,23400
3000,22.99,3.5,East,11600
8550,39.74,4.8,West,27400
4750,28.24,3.9,North,16900
6750,33.24,4.2,South,21000
3250,24.24,3.7,East,12700
7850,36.24,4.4,West,24600
5450,30.74,4.1,North,18700
7350,35.74,4.4,South,23800
2950,22.74,3.5,East,11300
8250,37.74,4.6,West,25700
4850,28.99,4.0,North,17400
6850,33.74,4.3,South,21400
3450,25.49,3.9,East,13400
7750,35.49,4.4,West,24300
5550,31.24,4.2,North,19000
7450,36.24,4.4,South,24100
3050,23.24,3.6,East,11800
8150,37.49,4.5,West,25500
4550,27.24,3.8,North,16200
6550,31.99,4.1,South,20300
3150,23.99,3.7,East,12300
8750,40.24,4.9,West,28200
5650,31.49,4.2,North,19200
7550,36.49,4.4,South,24400
3350,24.99,3.8,East,13000
8650,39.99,4.8,West,27800
