Date,Revenue,Customer_Count,Marketing_Spend,Support_Tickets,Employee_Count,Customer_Satisfaction
2020-01-01,125000,850,18000,145,25,78.2
2020-02-01,118000,820,15000,138,25,77.8
2020-03-01,132000,920,22000,156,26,79.1
2020-04-01,145000,980,25000,162,27,80.5
2020-05-01,158000,1050,28000,178,28,82.1
2020-06-01,172000,1120,32000,185,29,83.7
2020-07-01,165000,1080,30000,192,29,82.9
2020-08-01,151000,1020,27000,188,28,81.4
2020-09-01,143000,960,24000,175,28,80.2
2020-10-01,138000,940,21000,168,27,79.6
2020-11-01,129000,890,19000,158,27,78.8
2020-12-01,147000,980,26000,142,28,81.2
2021-01-01,135000,910,20000,152,28,79.4
2021-02-01,128000,880,17000,148,28,78.9
2021-03-01,142000,970,24000,165,29,80.3
2021-04-01,156000,1030,27000,172,30,81.8
2021-05-01,169000,1100,30000,188,31,83.2
2021-06-01,183000,1180,34000,195,32,84.6
2021-07-01,176000,1140,32000,201,32,83.8
2021-08-01,162000,1070,29000,197,31,82.1
2021-09-01,154000,1010,26000,184,31,81.0
2021-10-01,149000,990,23000,178,30,80.4
2021-11-01,140000,940,21000,167,30,79.5
2021-12-01,158000,1030,28000,151,31,82.7
2022-01-01,146000,960,22000,161,31,80.8
2022-02-01,139000,930,19000,157,31,80.1
2022-03-01,153000,1020,26000,174,32,81.9
2022-04-01,167000,1080,29000,181,33,83.4
2022-05-01,180000,1150,32000,197,34,84.8
2022-06-01,194000,1230,36000,204,35,86.1
2022-07-01,187000,1190,34000,210,35,85.3
2022-08-01,173000,1120,31000,206,34,83.6
2022-09-01,165000,1060,28000,193,34,82.5
2022-10-01,160000,1040,25000,187,33,81.9
2022-11-01,151000,990,23000,176,33,80.9
2022-12-01,169000,1080,30000,160,34,83.8
2023-01-01,157000,1010,24000,170,34,82.2
2023-02-01,150000,980,21000,166,34,81.5
2023-03-01,164000,1070,28000,183,35,83.0
2023-04-01,178000,1130,31000,190,36,84.5
2023-05-01,191000,1200,34000,206,37,85.9
2023-06-01,205000,1280,38000,213,38,87.2
2023-07-01,198000,1240,36000,219,38,86.4
2023-08-01,184000,1170,33000,215,37,84.7
2023-09-01,176000,1110,30000,202,37,83.6
2023-10-01,171000,1090,27000,196,36,83.0
2023-11-01,162000,1040,25000,185,36,82.0
2023-12-01,180000,1130,32000,169,37,84.9
2024-01-01,168000,1060,26000,179,37,83.3
2024-02-01,161000,1030,23000,175,37,82.6
2024-03-01,175000,1120,30000,192,38,84.1
2024-04-01,189000,1180,33000,199,39,85.6
2024-05-01,202000,1250,36000,215,40,87.0
2024-06-01,216000,1330,40000,222,41,88.3
2024-07-01,209000,1290,38000,228,41,87.5
2024-08-01,195000,1220,35000,224,40,85.8
2024-09-01,187000,1160,32000,211,40,84.7
2024-10-01,182000,1140,29000,205,39,84.1
2024-11-01,173000,1090,27000,194,39,83.1
2024-12-01,191000,1180,34000,178,40,86.0
